name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
CashFlowFromContinuingFinancingActivities,"-714,000,000","-10,066,000,000","-7,686,000,000","9,860,000,000","-2,911,000,000","-3,763,000,000","4,432,000,000","-539,000,000","2,259,000,000","-482,000,000","181,000,000","-280,000,000","-198,000,000","50,000,000","-400,000,000","-193,000,000","-97,292,000","-331,986,000","106,894,000","106,881,000","693,147,000","1,104,071,000","254,462,000","122,500,000","8,200,000"
	RepaymentOfDebt,"-15,558,000,000","-12,339,000,000","-8,454,000,000","-6,371,000,000","-4,361,000,000","-4,235,000,000","-1,933,000,000","-1,011,000,000","-588,000,000","-444,000,000","-221,000,000","-472,000,000","-355,000,000","-74,000,000","-383,000,000",,,,,,,,,,
	CommonStockIssuance,,,,,,,,,,,,,,,,"66,000,000","60,109,000","163,322,000","121,689,000","116,456,000","44,697,000","64,469,000","14,366,000","49,800,000","8,200,000"
	RepurchaseOfCapitalStock,,,,,,,"0","0","-960,000,000","-277,000,000","0","0","-100,000,000","-248,000,000","-252,000,000",,,,,,,,,,
	NetOtherFinancingCharges,,,,,"829,000,000","119,000,000","6,000,000","78,000,000","429,000,000","62,000,000","259,000,000","105,000,000","159,000,000","257,000,000","102,000,000",,,,,,"-16,122,000","-35,151,000","-7,783,000","-2,300,000",
	CashFlowFromContinuingFinancingActivities,"-714,000,000","-10,066,000,000","-7,686,000,000","9,860,000,000","-2,911,000,000","-3,763,000,000","4,432,000,000","-539,000,000","2,259,000,000","-482,000,000","181,000,000","-280,000,000","-198,000,000","50,000,000","-400,000,000","-193,000,000","-97,292,000","-331,986,000","106,894,000","106,881,000","693,147,000","1,104,071,000","254,462,000","122,500,000","8,200,000"
ChangeInCashSupplementalAsReported,"14,877,000,000","4,237,000,000","10,317,000,000","1,188,000,000","3,444,000,000","1,333,000,000","5,899,000,000","574,000,000","2,815,000,000","1,492,000,000","333,000,000","675,000,000","230,000,000","1,517,000,000","9,000,000","-290,000,000","200,327,000","364,019,000","197,972,000","-282,153,000","689,126,000","91,401,000","23,685,000","103,600,000","5,300,000"
BeginningCashPosition,"22,965,000,000","32,173,000,000","21,856,000,000","19,334,000,000","15,890,000,000","14,557,000,000","8,658,000,000","8,084,000,000","5,269,000,000","3,777,000,000","3,444,000,000","2,769,000,000","2,539,000,000","1,022,000,000","1,013,000,000","1,303,000,000","1,102,273,000","738,254,000","540,282,000","822,435,000","133,309,000","25,561,000","1,876,000","6,200,000","1,000,000"
EndCashPosition,"38,164,000,000","36,410,000,000","32,173,000,000","20,522,000,000","19,334,000,000","15,890,000,000","14,557,000,000","8,658,000,000","8,084,000,000","5,269,000,000","3,777,000,000","3,444,000,000","2,769,000,000","2,539,000,000","1,022,000,000","1,013,000,000","1,302,600,000","1,102,273,000","738,254,000","540,282,000","822,435,000","116,962,000","25,561,000","0","0"
FreeCashFlow,"26,957,000,000","21,653,000,000","17,296,000,000","6,479,000,000","9,706,000,000","7,331,000,000","1,949,000,000","2,031,000,000","395,000,000","2,092,000,000","2,516,000,000","2,920,000,000","1,364,000,000","1,181,000,000","486,000,000","529,000,000","477,427,000","346,059,000","135,128,000","-170,103,000","-265,200,000","-377,930,000","2,702,000","-3,700,000","-2,900,000"
	OperatingCashFlow,"51,220,000,000","38,514,000,000","30,723,000,000","18,434,000,000","16,443,000,000","11,920,000,000","6,842,000,000","5,475,000,000","4,180,000,000","3,903,000,000","3,495,000,000","3,293,000,000","1,697,000,000","1,405,000,000","702,000,000","733,000,000","566,560,000","392,022,000","174,291,000","-119,782,000","-130,442,000","-90,875,000","31,035,000","3,500,000","-1,700,000"
	CapitalExpenditure,"-24,263,000,000","-16,861,000,000","-13,427,000,000","-11,955,000,000","-6,737,000,000","-4,589,000,000","-4,893,000,000","-3,444,000,000","-3,785,000,000","-1,811,000,000","-979,000,000","-373,000,000","-333,000,000","-224,000,000","-216,000,000","-204,000,000","-89,133,000","-45,963,000","-39,163,000","-50,321,000","-134,758,000","-287,055,000","-28,333,000","-7,200,000","-1,200,000"
	FreeCashFlow,"26,957,000,000","21,653,000,000","17,296,000,000","6,479,000,000","9,706,000,000","7,331,000,000","1,949,000,000","2,031,000,000","395,000,000","2,092,000,000","2,516,000,000","2,920,000,000","1,364,000,000","1,181,000,000","486,000,000","529,000,000","477,427,000","346,059,000","135,128,000","-170,103,000","-265,200,000","-377,930,000","2,702,000","-3,700,000","-2,900,000"
