name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
			LongTermDebt,"23,414,000,000","23,495,000,000","24,743,000,000","7,694,000,000","8,235,000,000","8,265,000,000","3,191,000,000","3,084,000,000","255,000,000","184,000,000","109,000,000","409,000,000","1,282,000,000","1,247,000,000","1,521,000,000","1,855,319,000","1,945,439,000","2,277,305,000","2,156,133,000","2,127,464,000","1,466,338,000","348,140,000","76,700,000",
			NonCurrentDeferredTaxesLiabilities,,"2,386,000,000","1,994,000,000","1,787,000,000","2,016,000,000","1,531,000,000","1,028,000,000","336,000,000",,,,,,,,,,,,,,,,
			OtherNonCurrentLiabilities,"12,171,000,000","8,535,000,000","5,798,000,000","3,301,000,000","1,962,000,000","1,655,000,000","1,224,000,000","1,195,000,000","1,210,000,000","677,000,000","738,000,000","219,000,000","132,000,000","58,000,000",,,,,,,,,,
			TotalNonCurrentLiabilitiesNetMinorityInterest,"75,376,000,000","50,708,000,000","45,718,000,000","20,301,000,000","18,161,000,000","15,675,000,000","7,433,000,000","5,361,000,000","2,625,000,000","1,561,000,000","1,192,000,000","896,000,000","1,574,000,000","1,400,000,000","1,521,000,000","1,855,319,000","1,945,439,000","2,277,305,000","2,156,133,000","2,127,464,000","1,466,338,000","348,140,000","76,700,000",
		TotalLiabilitiesNetMinorityInterest,"163,188,000,000","119,099,000,000","103,601,000,000","64,117,000,000","52,060,000,000","43,764,000,000","30,413,000,000","24,363,000,000","17,521,000,000","11,933,000,000","8,556,000,000","5,642,000,000","5,288,000,000","3,932,000,000","3,450,000,000","3,475,719,000","3,198,140,000","3,343,263,000","3,077,547,000","3,102,420,000","2,205,273,000","509,715,000","120,500,000","4,900,000"
	StockholdersEquity,"62,060,000,000","43,549,000,000","27,709,000,000","19,285,000,000","13,384,000,000","10,741,000,000","9,746,000,000","8,192,000,000","7,757,000,000","6,864,000,000","5,257,000,000","2,672,000,000","1,197,000,000","431,000,000","246,000,000","-227,211,000","-1,036,107,000","-1,352,814,000","-1,440,000,000","-967,251,000","266,278,000","138,745,000","28,500,000","3,400,000"
		CapitalStock,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,097,000","4,034,000","3,879,000","3,732,000","3,571,000","3,452,000","1,593,000",,
		RetainedEarnings,"31,220,000,000","19,625,000,000","8,636,000,000","4,916,000,000","2,545,000,000","1,949,000,000","2,190,000,000","1,916,000,000","1,955,000,000","1,324,000,000","172,000,000","-730,000,000","-1,375,000,000","-1,837,000,000","-2,027,000,000","-2,385,977,000","-2,974,428,000","-3,009,710,000","-2,860,578,000","-2,293,301,000","-882,028,000","-162,060,000","-33,600,000","-6,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-986,000,000","-1,035,000,000","-484,000,000","-985,000,000","-723,000,000","-511,000,000","-185,000,000","-239,000,000","-316,000,000","-190,000,000","-56,000,000","-123,000,000","5,000,000","-1,000,000","6,000,000","30,071,000","34,889,000","3,071,000","-45,923,000","-15,824,000","-50,686,000","-918,000",,
		StockholdersEquity,"62,060,000,000","43,549,000,000","27,709,000,000","19,285,000,000","13,384,000,000","10,741,000,000","9,746,000,000","8,192,000,000","7,757,000,000","6,864,000,000","5,257,000,000","2,672,000,000","1,197,000,000","431,000,000","246,000,000","-227,211,000","-1,036,107,000","-1,352,814,000","-1,440,000,000","-967,251,000","266,278,000","138,745,000","28,500,000","3,400,000"
	TotalAssets,"225,248,000,000","162,648,000,000","131,310,000,000","83,402,000,000","65,444,000,000","54,505,000,000","40,159,000,000","32,555,000,000","25,278,000,000","18,797,000,000","13,813,000,000","8,314,000,000","6,485,000,000","4,363,000,000","3,696,000,000","3,248,508,000","2,162,033,000","1,990,449,000","1,637,547,000","2,135,169,000","2,471,551,000","648,460,000","149,000,000","8,300,000"
