name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994
CashFlowFromContinuingFinancingActivities,"-1,087,805,000","-1,086,513,000","-242,873,000","-1,312,814,000","565,072,000","-630,285,000","-501,491,000","-690,449,000","-1,116,882,000","-787,722,000","-275,439,000","-504,160,000","-662,417,000","-1,154,531,000","-469,848,000","-929,993,000","-511,552,000","-16,310,000","32,602,000","99,322,000","-133,770,000","24,800,000","-129,400,000","148,700,000","38,100,000","58,800,000","-77,800,000"
	RepaymentOfDebt,"-417,286,000","-1,280,147,000","-25,830,787,000","-10,085,953,000","-9,133,662,000","-611,100,000","-18,116,025,000","-2,330,000,000","-1,491,627,000","-844,204,000","-1,261,395,000","-2,162,365,000",,,,,,,,,,,,,,,
	CommonStockIssuance,,,,,,,,,,,,,"84,394,000","94,620,000","138,046,000","174,060,000","15,151,000","42,564,000","101,509,000","30,835,000","11,924,000","9,000,000","6,700,000","3,800,000","49,300,000","148,700,000",
	RepurchaseOfCapitalStock,"-733,224,000","-674,031,000","-639,235,000","-329,929,000","-2,266,344,000","-1,859,106,000","-753,926,000","-484,176,000","-1,162,246,000","-840,577,000","-470,356,000","-450,350,000","-680,616,000","-1,436,007,000","-719,246,000","-787,757,000","-145,691,000",,,,,"-400,000",,,,"-5,700,000",
	CashDividendsPaid,"-339,087,000","-338,974,000","-333,041,000","-320,270,000","-288,477,000","-253,919,000","-214,469,000","-195,716,000","-132,760,000","-117,624,000","-90,622,000","-62,696,000","-48,674,000","-37,249,000","-20,595,000","-10,598,000","-11,197,000","-10,995,000","-10,500,000",,,,,,,,
	NetOtherFinancingCharges,"-14,786,000","-16,669,000","-22,400,000","-15,985,000","-28,568,000","-207,641,000","-227,404,000","-166,270,000","-10,658,000","-7,479,000","-10,219,000","-4,342,000","-1,125,000","-2,648,000","-2,941,000","-18,859,000","-1,390,000","-8,890,000","1,712,000","-38,137,000","-242,000","-700,000","-100,000","-3,700,000","100,000","-10,000,000","-600,000"
	CashFlowFromContinuingFinancingActivities,"-1,087,805,000","-1,086,513,000","-242,873,000","-1,312,814,000","565,072,000","-630,285,000","-501,491,000","-690,449,000","-1,116,882,000","-787,722,000","-275,439,000","-504,160,000","-662,417,000","-1,154,531,000","-469,848,000","-929,993,000","-511,552,000","-16,310,000","32,602,000","99,322,000","-133,770,000","24,800,000","-129,400,000","148,700,000","38,100,000","58,800,000","-77,800,000"
ChangeInCashSupplementalAsReported,"816,188,000","881,678,000","57,401,000","-306,717,000","574,390,000","358,929,000","577,507,000","164,398,000","-759,382,000","167,808,000","648,814,000","131,254,000","237,910,000","-621,064,000","294,715,000","444,340,000","71,307,000","136,696,000","365,714,000","176,808,000","61,321,000","11,000,000","-11,600,000","-5,500,000","33,400,000","6,900,000","-1,800,000"
BeginningCashPosition,"2,875,750,000","2,492,516,000","2,435,115,000","2,741,832,000","2,167,442,000","1,808,513,000","1,231,006,000","1,066,608,000","1,825,990,000","1,658,182,000","1,009,368,000","878,114,000","640,204,000","1,261,268,000","966,553,000","871,343,000","800,036,000","663,340,000","297,626,000","120,818,000","59,497,000","48,500,000","60,000,000","65,600,000","32,200,000","25,300,000","27,100,000"
EndCashPosition,"3,691,938,000","3,374,194,000","2,492,516,000","2,435,115,000","2,741,832,000","2,167,442,000","1,808,513,000","1,231,006,000","1,066,608,000","1,825,990,000","1,658,182,000","1,009,368,000","878,114,000","640,204,000","1,261,268,000","1,315,683,000","871,343,000","800,036,000","663,340,000","297,626,000","120,818,000","59,500,000","0","0","0","0","0"
FreeCashFlow,"1,943,282,000","2,033,801,000","1,074,977,000","1,037,741,000","2,713,881,000","3,688,794,000","1,198,696,000","585,675,000","1,141,408,000","999,994,000","923,989,000","637,926,000","599,760,000","1,089,853,000","694,133,000","1,323,262,000","635,803,000","264,261,000","471,767,000","-63,367,000","199,961,000","-12,800,000","115,500,000","-25,200,000","24,300,000","-49,300,000","75,500,000"
	OperatingCashFlow,"2,236,398,000","2,344,023,000","1,411,388,000","1,504,138,000","3,178,497,000","3,920,379,000","1,463,153,000","788,125,000","1,305,449,000","1,167,948,000","1,108,624,000","783,763,000","737,069,000","1,207,904,000","807,265,000","1,526,638,000","825,081,000","354,815,000","535,926,000","-40,004,000","216,580,000","3,000,000","125,900,000","-9,300,000","40,000,000","-35,600,000","84,000,000"
	CapitalExpenditure,"-293,116,000","-310,222,000","-336,411,000","-466,397,000","-464,616,000","-231,585,000","-264,457,000","-202,450,000","-164,041,000","-167,954,000","-184,635,000","-145,837,000","-137,309,000","-118,051,000","-113,132,000","-203,376,000","-189,278,000","-90,554,000","-64,159,000","-23,363,000","-16,619,000","-15,800,000","-10,400,000","-15,900,000","-15,700,000","-13,700,000","-8,500,000"
	FreeCashFlow,"1,943,282,000","2,033,801,000","1,074,977,000","1,037,741,000","2,713,881,000","3,688,794,000","1,198,696,000","585,675,000","1,141,408,000","999,994,000","923,989,000","637,926,000","599,760,000","1,089,853,000","694,133,000","1,323,262,000","635,803,000","264,261,000","471,767,000","-63,367,000","199,961,000","-12,800,000","115,500,000","-25,200,000","24,300,000","-49,300,000","75,500,000"
