name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
			IncomeTaxPayable,"2,422,000","1,661,000","2,086,000","9,266,000","8,551,000","0","3,089,000","0",,"0","9,498,000",,,,,,,,,,"75,000",
			CurrentAccruedExpenses,"1,311,422,000","1,818,261,000","2,099,270,000","2,343,304,000","2,757,898,000","2,634,942,000","979,964,000","1,170,945,000","732,831,000","469,721,000","286,606,000","226,005,000","183,544,000","164,528,000","414,726,000","188,153,000","108,567,000","68,627,000","50,176,000",,"33,641,000",
			CurrentDeferredRevenue,,,,,,,,,,,,,"1,720,000",,,,,,,,,
			OtherCurrentLiabilities,"47,335,000","35,811,000",,"24,338,000","34,891,000","155,959,000","35,449,000","6,195,000","4,925,000",,,,"32,825,000","50,924,000",,"1,836,000",,,"3,526,000","48,069,000",,
			CurrentLiabilities,"1,460,289,000","1,950,096,000","2,220,909,000","2,634,745,000","3,474,312,000","3,099,245,000","1,696,672,000","1,728,020,000","1,121,778,000","735,828,000","472,180,000","386,473,000","396,958,000","338,099,000","509,513,000","273,248,000","185,674,000","152,429,000","175,666,000","100,295,000","68,886,000",
		TotalNonCurrentLiabilitiesNetMinorityInterest,"8,795,782,000","8,680,580,000","8,929,791,000","8,938,775,000","9,908,048,000","5,402,158,000","4,289,968,000","3,707,333,000","4,131,214,000","1,373,232,000","519,212,000","442,424,000","13,390,000","17,602,000","18,795,000","18,293,000","589,000","7,851,000","207,000","169,372,000","181,963,000",
			LongTermDebt,"8,359,899,000","8,224,269,000","8,242,032,000","8,141,378,000","8,251,657,000","4,202,356,000","3,323,844,000","3,037,947,000","3,424,329,000","1,045,801,000","322,534,000","371,695,000",,,,,,,,"162,154,000","175,218,000",
			NonCurrentDeferredTaxesLiabilities,"31,703,000","34,487,000","43,131,000","192,297,000","871,040,000","724,278,000","310,764,000","516,565,000","617,677,000","217,334,000",,,,,"14,637,000","1,664,000",,,,,,
			OtherNonCurrentLiabilities,"355,881,000","421,824,000","434,178,000","605,100,000","236,253,000","212,743,000","655,360,000","152,821,000","89,208,000","110,097,000","196,678,000","70,729,000",,,"4,158,000","16,629,000",,,,"7,218,000","6,745,000",
			TotalNonCurrentLiabilitiesNetMinorityInterest,"8,795,782,000","8,680,580,000","8,929,791,000","8,938,775,000","9,908,048,000","5,402,158,000","4,289,968,000","3,707,333,000","4,131,214,000","1,373,232,000","519,212,000","442,424,000","13,390,000","17,602,000","18,795,000","18,293,000","589,000","7,851,000","207,000","169,372,000","181,963,000",
		TotalLiabilitiesNetMinorityInterest,"10,256,071,000","10,630,676,000","11,150,700,000","11,573,520,000","13,382,360,000","8,501,403,000","5,986,640,000","5,435,353,000","5,252,992,000","2,109,060,000","991,392,000","828,897,000","410,348,000","355,701,000","528,308,000","291,541,000","186,263,000","160,280,000","175,873,000","269,667,000","250,849,000","212,260,000"
	StockholdersEquity,"-866,544,000","-498,283,000","484,880,000","2,701,589,000","5,968,030,000","2,374,757,000","526,018,000","1,072,856,000","1,977,690,000","1,741,591,000","1,497,411,000","1,127,734,000","1,292,290,000","1,040,988,000","843,370,000","655,950,000","567,617,000","352,692,000","295,122,000","198,173,000","78,587,000","75,358,000"
		CapitalStock,"23,000","22,000","22,000","22,000","22,000","15,000","1,444,000","1,400,000","1,383,000","1,363,000","1,350,000","1,343,000","1,341,000","1,336,000","1,328,000","1,319,000","1,318,000","1,021,000","1,021,000","891,000","713,000",
		RetainedEarnings,"-9,552,214,000","-9,124,932,000","-8,096,539,000","-5,688,281,000","-2,341,215,000","-595,085,000","126,234,000","811,573,000","1,551,910,000","1,364,297,000","1,105,291,000","845,360,000","583,619,000","358,831,000","220,992,000","18,697,000","-124,612,000","-194,402,000","-225,215,000","-188,673,000","-31,833,000",
		GainsLossesNotAffectingRetainedEarnings,"-219,090,000","-229,229,000","-209,821,000","-353,434,000","-384,205,000","-124,088,000","-4,915,000","-6,802,000","-9,436,000","-1,161,000","-1,881,000","-1,656,000","3,025,000","1,117,000","1,714,000","19,000","-720,000","-1,176,000",,,,
		StockholdersEquity,"-866,544,000","-498,283,000","484,880,000","2,701,589,000","5,968,030,000","2,374,757,000","526,018,000","1,072,856,000","1,977,690,000","1,741,591,000","1,497,411,000","1,127,734,000","1,292,290,000","1,040,988,000","843,370,000","655,950,000","567,617,000","352,692,000","295,122,000","198,173,000","78,587,000","75,358,000"
	TotalAssets,"9,389,527,000","10,132,393,000","11,635,580,000","14,275,109,000","19,350,336,000","10,909,616,000","6,571,856,000","6,568,559,000","7,292,583,000","3,912,389,000","2,488,803,000","1,956,631,000","1,702,638,000","1,396,689,000","1,371,678,000","947,491,000","753,880,000","512,972,000","470,995,000","467,840,000","329,436,000","287,618,000"
